,Sampling1,Sampling2,Sampling3,Sampling4,Sampling5
Logistic Regression,0.9130434782608695,0.8260869565217391,0.8043478260869565,0.9130434782608695,0.9347826086956522
Decision Tree,0.8695652173913043,0.7608695652173914,0.8913043478260869,0.9565217391304348,0.8260869565217391
Random Forest,1.0,0.9130434782608695,0.9565217391304348,1.0,0.9782608695652174
SVM,0.8913043478260869,0.782608695652174,0.8260869565217391,0.8478260869565217,0.8913043478260869
KNN,0.6304347826086957,0.8043478260869565,0.5869565217391305,0.782608695652174,0.7391304347826086
